Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
"C00376756","SPEAK UP AMERICA POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00376756","","5995.82","30-JUN-18","129987.3","131126.9"
"C00564658","MAKING INVESTMENTS MAJORITY INSURED PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00564658","","36123.68","30-JUN-18","490038.2","507136.1"
"C00493361","RAZOR PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00493361","WOMACK, STEVE","15549.93","30-JUN-18","45497.2","39500"
"C00420695","JOBS, ECONOMY AND BUDGET FUND (JEB FUND)","http://docquery.fec.gov/cgi-bin/fecimg/?C00420695","","20034.46","30-JUN-18","530350.3","522505.3"
"C00402602","LONGHORN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00402602","SMITH, LAMAR","3633.13","30-JUN-18","117781.5","110500"
"C00328468","THE COMMITTEE FOR THE PRESERVATION OF CAPITALISM","http://docquery.fec.gov/cgi-bin/fecimg/?C00328468","BOUSTANY, CHARLES","0","31-JAN-17","6300.8","5000.8"
"C00613018","READY TO WORK PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00613018","","20067.2","30-JUN-18","12082.8","14650"
"C00590356","BUILDING AND RESTORING THE AMERICAN DREAM FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00590356","WENSTRUP, BRAD","21121.68","30-JUN-18","41674","55840.7"
"C00617803","JOBS EDUCATION & FAMILIES FIRST - JEFF PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00617803","","68154.58","30-JUN-18","88245.1","153500"
"C00440032","PROMOTING OUR REPUBLICAN TEAM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00440032","","109574.1","31-MAY-18","759151.4","838823.3"
"C00484402","COUNTRY ROADS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00484402","MANCHIN, JOE","515453.46","30-JUN-18","398991.2","369377.9"
"C00492538","LIBERTY & PROSPERITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00492538","","22344.53","30-JUN-18","207885.9","213698.2"
"C00502187","CONSERVATIVES RESTORING EXCELLENCE (CRE-PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00502187","ELLMERS, RENEE","0","31-JAN-17","11354.6","0"
"C00525212","VICTORY AND FREEDOM PAC (VAF PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00525212","FOXX, VIRGINIA","138071.87","30-JUN-18","171712.5","245000"
"C00497073","LOBO PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00497073","HEINRICH, MARTIN","3184.49","30-JUN-18","429192.6","426740.8"
"C00491654","CITIZENS FOR PROSPERITY IN AMERICA TODAY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00491654","","118038.43","30-JUN-18","726203.8","824250"
"C00450320","INVEST IN A STRONG AND SECURE AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?C00450320","","155289.82","30-JUN-18","225465.2","176391.2"
"C00390831","JOHN S FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00390831","SHIMKUS, JOHN","18812.85","30-JUN-18","206095.2","215480"
"C00613364","GIVE ME LIBERTY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00613364","","228.83","30-JUN-18","40231.6","26876.6"
"C00605212","HAVING UNWAVERING RESOLVE AND DETERMINATION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00605212","HURD, WILLIAM","47468.24","30-JUN-18","145068.6","158909.2"
"C00363689","TALLATCHEE CREEK INC. PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00363689","SESSIONS, JEFF","0","18-JAN-17","52501.6","0"
"C00525238","IMPACT COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00525238","TURNER, REP MICHAEL R","32195.58","30-JUN-18","79471.1","97401.6"
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?C00271338","HOYER, STENY","533201.32","30-JUN-18","2739317.7","2799478.1"
"C00610840","BWC - BECAUSE WOMEN CAN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00610840","","10750.87","30-JUN-18","11081.4","17200"
"C00502096","MICHIGAN'S FUTURE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00502096","DAN KILDEE, DANEIL","3557.42","30-JUN-18","92305.5","79700"
"C00409805","VOICE FOR FREEDOM","http://docquery.fec.gov/cgi-bin/fecimg/?C00409805","","0","31-MAR-17","17023.9","107.5"
"C00422774","USA PAC - UNITED FOR A STRONG AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?C00422774","SCHIFF, ADAM","90050","30-JUN-18","233400.2","311889.6"
"C00607747","BAPTIST MAKING HEALTHIER COMMUNITIES","http://docquery.fec.gov/cgi-bin/fecimg/?C00607747","","","","",""
"C00493239","TAXPAYERS INCENSED BY GOVERNMENT EXCESS AND REGULATION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00493239","ROSS, DENNIS","21437.14","30-JUN-18","40837.8","50150"
"C00523639","GOLDEN STATE LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00523639","STRICKLAND, ANTHONY A","750","30-JUN-18","0","0"
"C00417717","KENTUCKY FORWARD PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00417717","","9233","30-JUN-18","1194","0"
"C00593475","MOVING AMERICA'S REPUBLICANS INTO NUMBER ONE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00593475","MARINO, THOMAS ANTHONY","16926.6","30-JUN-18","8023.4","5100"
"C00602789","POLITICS AND THE DEAF","http://docquery.fec.gov/cgi-bin/fecimg/?C00602789","","","","",""
"C00597062","BUDDY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00597062","","45460.43","30-JUN-18","78688","90500"
"C00594101","DULLESPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00594101","","815.42","30-JUN-18","0","64.4"
"C00574798","KEYSTONE LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00574798","FITZPATRICK, MICHAEL","0","31-MAR-17","2471","0"
"C00594473","KEN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00594473","","24161.18","30-JUN-18","42456.5","59300"
"C00564260","CLEAN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00564260","","69898.29","30-JUN-18","131864.6","126189.8"
"C00345124","LEADING ORANGE COUNTY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00345124","SANCHEZ, LORETTA","11076.54","30-JUN-18","10299.5","0"
"C00591461","NEW MEXICO WORKS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00591461","","6458.15","30-JUN-18","18475.1","11120.9"
"C00465112","MISSION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00465112","","0","10-FEB-17","958","0"
"C00589994","BUILDING RENEWAL IN AMERICA NOW PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00589994","","5882.74","30-JUN-18","36651.5","40250"
"C00404418","STAND TALL AMERICA PAC (STAPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00404418","","117989.24","30-JUN-18","211632.9","297800"
"C00589606","INNOVATE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00589606","","14844.85","30-JUN-18","0","6000"
"C00383927","WIN BACK AMERICA POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00383927","","0","30-JUN-17","680.4","0"
"C00588277","IGNITE OKLAHOMA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00588277","","0","27-JAN-17","0","0"
"C00567693","HAWAII PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00567693","SCHATZ, BRIAN","25493.3","30-JUN-18","505057.4","515717.9"
"C00361956","21ST CENTURY MAJORITY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00361956","","405832.12","30-JUN-18","664786","754154.9"
"C00582650","WOMEN'S EMPOWERMENT POLITICAL ACTION COMMITTEE AKA WE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00582650","","","","",""
"C00451583","WOLVERINE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00451583","DINGELL, DEBBIE","22381.26","30-JUN-18","51786.6","60500"
"C00581751","ASSOCIATION OF MISSOURI NURSE PRACTITIONER'S POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00581751","","","","",""
"C00479253","FIRST TEAM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00479253","","30576.06","30-JUN-18","24213.6","25894.9"
"C00572438","MI14 PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00572438","LAWRENCE, BRENDA","36110","30-JUN-18","550","17500"
"C00581892","PONDEROSA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00581892","","10768.45","30-JUN-18","17030.9","10200"
"C00567180","AMERICA UNLIMITED","http://docquery.fec.gov/cgi-bin/fecimg/?C00567180","YOHO, THEODORE SCOTT MR.","9631.23","30-JUN-18","22750","25000"
"C00392134","MAKING BUSINESS EXCEL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00392134","","146151.74","30-JUN-18","405369.2","439650"
"C00413948","ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00413948","BOOZMAN, SEN. JOHN","61961.02","30-JUN-18","300067.6","349533.3"
